Tweet
"Menteri BUMN Erick thohir inginkan seluruh BUMN segera transformasi digital krn byk dampak baiknya. slh satunya PT POS Indonesia. Dengan transformasi digital bumn bisa lebih baik lagi utk memberikan pelayanan untuk masyarakat Indonesia 
@erickthohir 
#ETDorongDigitalisasiBUMN https://t.co/9F21n3joyr"
"Menteri BUMN Erick thohir inginkan seluruh BUMN segera transformasi digital krn byk dampak baiknya. slh satunya PT POS Indonesia. Dengan transformasi digital bumn bisa lebih baik lagi utk memberikan pelayanan untuk masyarakat Indonesia 
@erickthohir 
#ETDorongDigitalisasiBUMN https://t.co/9F21n3joyr"
"Menteri BUMN Erick thohir inginkan seluruh BUMN segera transformasi digital krn byk dampak baiknya. slh satunya PT POS Indonesia. Dengan transformasi digital bumn bisa lebih baik lagi utk memberikan pelayanan untuk masyarakat Indonesia 
@erickthohir 
#ETDorongDigitalisasiBUMN https://t.co/9F21n3joyr"
"Menteri BUMN Erick thohir inginkan seluruh BUMN segera transformasi digital krn byk dampak baiknya. slh satunya PT POS Indonesia. Dengan transformasi digital bumn bisa lebih baik lagi utk memberikan pelayanan untuk masyarakat Indonesia 
@erickthohir 
#ETDorongDigitalisasiBUMN https://t.co/9F21n3joyr"
"PT Pos Indonesia (Persero) memperkuat layanan platform digital PosAja! dengan memperkenalkan kurir khusus perempuan O-Ranger Mawar serta menggandeng penyedia transportasi online Nusantara Ojek (Nujek). #BUMNMaju
https://t.co/Z9fEMxlVmv"
"Gajelas bgt ajg bulan lalu pake sicepat halu juga paling 5 hari, lah ini seminggu lebih gak ada kejelasan hadeh.

Better shopee express sih, tapi paling best jnt wkwk🥰😘"
"@idtodayco 400 orang Pasukan Setan kemana boosss?? Dikirimnya pke kurir apa? jNE, sicepat, atau apa bos? Kok ga kedengeran lg"
"Selain Gubernur Jawa Timur Khofifah Indar Parawansa, juga hadir Menparekraf RI Sandiaga Uno, Duta Besar Finlandia untuk Indonesia Jari Sinkari dan Dirjen Sumber Daya Perangkat Pos dan Informatika Kementerian Kominfo Dr Ir Ismail MT"
"Sumpah ga lgi gw ngirim di pos indonesia, lma bener paket gw sampe. 
Hari selasa dikirim skrng udah minggu belom nyampe, klau jnt atau sicepat paling 4 hari doang njir."
@CaratShopINA gak pernah kalo ke ph tapi kalo kirim ww lewat pos indonesia bisa bayar langsung di pos indonesia nder
"gila laju jnt , smlm pos dari perak harini dh smpai cdc dengkil 🙆🏻‍♀️"
"@jualanlabels aku bisa nder insya allah lagi gak banyak kesibukan juga, udah sering packing barang, line/wa ku aktif semuaa. btw aku dom jaksel dan rumahku deket juga sama ekspedisi jnt &amp; sicepat 😊😊 oiya shopee aku juga udah freeong xtra, kalau tertarik hire aku boleh dm ya kakk"
"@jualanlabels Aku bisa kak jadi admin packing di GO kakak,aku dom Jakarta timur,rumah aku deket sama jnt,jne,sicepat kak"
BUMN Pos Indonesia membuka lowongan kerja untuk lulusan SMA yang akan ditutup sampai 23 September 2021. Simak di sini persyaratannya. https://t.co/xL4PswA0hY
"Jnt bagi 1000 points sempena birthday, masalahnya aku jarang pos barang 😂😂😂"
"Since I always go to pos laju and jnt my friends will always ask me to pick up their parcels and ask ""buka ka pos laju/jnt arini?"" And now I feel like pekerja pos laju and jnt"
hp/wa 085225480239-pengiriman=COD POS ( byr di tmpt ke seluruh indonesia ) https://t.co/sOAsome3Xs
hp/wa 085225480239-pengiriman=COD POS ( byr di tmpt ke seluruh indonesia ) https://t.co/kKsCj4NX4y
"@sellbuytrad3 Akuu bisa nder dom indramayu jabar, deket sama berbagai ekspedisi jne,jnt,sicept,anteraja,kantor pos tinggal mgesot fee miring butuh kerjaan gabut banget😭😭"
pengadaan barang dan jasa pt.pos indonesia
555：paket pos：郵便小包：ゆうびんこづつみ
"@BernardGyorgy malaysia, singapore, indonesia, thailand, vietnam, the philippines, even taiwan , japan and korea are all china's trading partners so why on earth would china stop the sea lanes like this pos just said?"
i asked the seller to post out kibbles and milk powder i bought for my anak bulus asap bc i’m in urgent need of it lepastu 3days later baru dia pos lepastu dia guna poslaju kalau jnt ni mesti sampai dah semalam 😭
"setelah berapa lama tak pegi jnt pos brg 🥺

FINALLY! https://t.co/E8GWMqxUzb"
"Open PO fanmade TShirt Mamamoo (INA) 🇮🇩
⚠️ Detail size dan harga di foto
⚠️ Harga di luar ongkir dari Jakarta
⚠️ Barang ready 1-2 minggu

✅ Full Payment only 65k
✅ Pengiriman JNE / J&amp;T / SiCepat

🍊 https://t.co/UWzHnn3GQM https://t.co/qafjXDyRWt"
"Open PO fanmade TShirt Mamamoo (INA) 🇮🇩
⚠️ Detail size dan harga di foto
⚠️ Harga di luar ongkir dari Jakarta
⚠️ Barang ready 1-2 minggu

✅ Full Payment only 65k
✅ Pengiriman JNE / J&amp;T / SiCepat

🍊 https://t.co/UWzHnn3GQM https://t.co/qafjXDyRWt"
"#LokerPam - PT Sicepat Ekspres Indonesia - Admin Claim - Gunung Sahari, Jakarta Pusat https://t.co/ZZuG8gOLO0"
"Open PO fanmade TShirt Mamamoo (INA) 🇮🇩
⚠️ Detail size dan harga di foto
⚠️ Harga di luar ongkir dari Jakarta
⚠️ Barang ready 1-2 minggu

✅ Full Payment only 65k
✅ Pengiriman JNE / J&amp;T / SiCepat

🍊 https://t.co/UWzHnn3GQM https://t.co/qafjXDyRWt"
"#LokerPam - PT Sicepat Ekspres Indonesia - Admin Claim - Gunung Sahari, Jakarta Pusat https://t.co/ZZuG8gOLO0"
"#LokerPam - PT Sicepat Ekspres Indonesia - Admin Claim - Gunung Sahari, Jakarta Pusat https://t.co/ZZuG8gOLO0"
"Open PO fanmade TShirt Mamamoo (INA) 🇮🇩
⚠️ Detail size dan harga di foto
⚠️ Harga di luar ongkir dari Jakarta
⚠️ Barang ready 1-2 minggu

✅ Full Payment only 65k
✅ Pengiriman JNE / J&amp;T / SiCepat

🍊 https://t.co/UWzHnn3GQM https://t.co/qafjXDyRWt"
"@AidaTetttttt hahaha garang takpe, lelama nti dia okay as the time goes by. if jnt cover dh lma mintak pos by parcel je 😂 japp i try tanya any pet taxi available... btw u stay area mana ye?"
"Bagi produsen usaha mikro dan kecil dapat mengajukan keringanan tarif pendaftaran diskon sebesar 50% loh.
.
Pembayaran dilakukan melalui POS Indonesia dan 75 bank yang telah tekoneksi dengan Simponi (Sistem Informasi PNBP Online).
."
"#Arti Resi Dalam Belanja Online, Cara Cek Resi JNE, J&amp;T, SiCepat, Ninja, Pos, Tiki - Tribun Sumsel #KBBI https://t.co/cm1u4WtleY"
